date,open,high,low,close,volume
2006-01-03,20.36,20.55,20.16,20.45,3288442
2006-01-04,20.54,20.92,20.5,20.78,3596753
2006-01-05,20.95,21.28,20.92,21.24,3795195
2006-01-06,21.98,22.01,21.8,21.95,3948052
2006-01-09,22.02,22.62,21.98,22.5,5927532
2006-01-10,22.07,22.32,22.07,22.25,3511688
2006-01-11,21.76,21.79,21.38,21.62,6021299
2006-01-12,20.95,21.24,20.94,20.99,5843117
2006-01-13,21.05,21.16,20.88,21.05,4070649
2006-01-17,20.39,20.67,20.27,20.64,5544156
2006-01-18,21.28,22.19,21.27,21.39,11991039
2006-01-19,21.43,21.97,21.4,21.64,9557143
2006-01-20,21.66,21.66,20.77,20.88,2958312
2006-01-23,21.39,21.54,21.12,21.5,4234156
2006-01-24,21.53,22.05,21.53,21.96,7306883
2006-01-25,22.13,22.6,22.0911,22.57,6102208
2006-01-26,23.1,23.36,22.9708,23.2,3492987
2006-01-27,23.33,23.64,23.3,23.57,8387143
2006-01-30,23.29,23.38,22.92,23.03,2916364
2006-01-31,22.67,22.72,22.43,22.6,3618571
2006-02-01,22.53,22.86,22.5,22.83,4707922
2006-02-02,22.84,22.97,22.37,22.52,2911558
2006-02-03,22.26,22.46,22.17,22.27,2954416
2006-02-06,22.19,22.45,22.07,22.4,3769091
2006-02-07,22.45,22.75,22.31,22.45,2992208
2006-02-08,22.66,22.87,22.47,22.85,2822078
2006-02-09,22.83,23.18,22.8,22.85,3515195
2006-02-10,22.64,22.65,22.08,22.38,2904416
2006-02-13,22.05,22.28,22.0,22.14,1549740
2006-02-14,22.12,22.42,21.95,22.35,2241688
2006-02-15,22.36,22.4,21.98,22.18,1781688
2006-02-16,22.42,22.51,22.01,22.24,2248442
2006-02-17,22.0,22.1,21.8,21.87,2004156
2006-02-21,21.85,21.92,21.5,21.67,2382857
2006-02-22,21.25,21.29,20.98,21.19,5103377
2006-02-23,21.23,21.26,20.91,20.94,1692078
2006-02-24,20.97,20.97,20.66,20.71,3045195
2006-02-27,20.81,20.86,20.63,20.74,3647013
2006-02-28,20.89,20.98,20.62,20.68,2663636
2006-03-01,21.0,21.45,20.94,21.4,2212987
2006-03-02,21.16,21.41,21.1,21.33,4583247
2006-03-03,21.06,21.46,21.02,21.24,2103506
2006-03-06,20.99,21.16,20.7,20.83,2505584
2006-03-07,20.64,20.69,20.09,20.2,4102857
2006-03-08,20.02,20.24,19.93,20.13,2376364
2006-03-09,20.4,20.47,20.07,20.09,1542987
2006-03-10,20.03,20.11,19.8,19.94,1942078
2006-03-13,20.24,20.4,20.13,20.17,1858312
2006-03-14,20.15,20.66,20.15,20.64,937532
2006-03-15,20.92,21.07,20.81,21.01,1918052
2006-03-16,20.93,20.96,20.36,20.38,3718701
2006-03-17,20.16,20.36,20.04,20.26,3361299
2006-03-20,20.13,20.2,19.91,19.99,2648571
2006-03-21,19.84,20.2,19.68,19.8,6577403
2006-03-22,19.62,19.81,19.58,19.76,2112727
2006-03-23,19.81,19.98,19.49,19.56,3617532
2006-03-24,19.67,19.99,19.56,19.89,2979740
2006-03-27,19.89,19.96,19.71,19.79,1782987
2006-03-28,19.66,19.74,19.35,19.42,1975325
2006-03-29,19.63,19.83,19.52,19.73,4245844
2006-03-30,19.89,20.05,19.79,19.95,2589610
2006-03-31,20.31,20.53,20.23,20.37,3377792
2006-04-03,20.22,20.49,20.09,20.26,3481558
2006-04-04,20.23,20.57,20.15,20.38,4994545
2006-04-05,20.25,20.76,20.25,20.67,3998052
2006-04-06,20.95,21.2,20.89,21.1,1996623
2006-04-07,21.03,21.09,20.52,20.73,4699221
2006-04-10,20.75,20.8,20.34,20.5,2585714
2006-04-11,20.55,20.58,20.15,20.24,2968312
2006-04-12,20.06,20.18,19.9,20.02,2862208
2006-04-13,20.32,20.45,20.1,20.42,2687792
2006-04-17,20.5,20.7,20.15,20.23,2038182
2006-04-18,20.4,21.1,20.4,20.82,4269091
2006-04-19,21.1,21.76,21.05,21.72,17138182
2006-04-20,21.5,21.72,21.43,21.54,5244675
2006-04-21,21.74,21.8,21.48,21.59,3020779
2006-04-24,21.53,21.78,21.36,21.72,1518571
2006-04-25,21.82,21.83,21.36,21.58,2271948
2006-04-26,21.47,21.55,21.27,21.4,1311818
2006-04-27,21.1,21.26,20.97,21.15,2932597
2006-04-28,21.19,21.25,20.99,21.14,1620000
2006-05-01,21.32,21.32,20.95,21.03,1602208
2006-05-02,21.52,21.64,21.41,21.55,1808052
2006-05-03,21.33,21.44,21.03,21.41,4092597
2006-05-04,21.45,22.04,21.41,21.97,4394675
2006-05-05,22.24,22.38,22.05,22.38,2003766
2006-05-08,22.4,22.52,22.35,22.41,2232857
2006-05-09,22.15,22.15,21.86,21.97,1459740
2006-05-10,21.83,21.89,21.4,21.5,2748182
2006-05-11,21.45,21.52,20.59,20.87,3270909
2006-05-12,20.39,20.55,20.06,20.13,4159740
2006-05-15,20.1,20.12,19.48,19.7,4719221
2006-05-16,20.03,20.05,19.35,19.61,3234286
2006-05-17,19.76,19.79,18.81,19.1,4148961
2006-05-18,19.35,19.47,18.88,18.89,2315195
2006-05-19,19.17,19.21,18.82,19.14,3522727
2006-05-22,18.87,18.89,18.31,18.7,3207143
2006-05-23,19.96,20.2,19.56,19.69,6915455
2006-05-24,20.01,20.29,19.71,20.12,4717143
2006-05-25,20.18,20.41,19.93,20.33,3112338
2006-05-26,20.25,20.25,19.88,20.05,2137922
2006-05-30,20.29,20.32,20.05,20.12,3410909
2006-05-31,20.25,20.36,20.04,20.34,2697662
2006-06-01,20.2,20.86,20.14,20.83,2637532
2006-06-02,21.1,21.14,20.7,20.975,2928701
2006-06-05,20.88,20.9,20.27,20.35,1789870
2006-06-06,20.07,20.12,19.69,19.9,3062338
2006-06-07,19.88,20.38,19.69,19.93,1698182
2006-06-08,19.79,19.89,19.3,19.77,4027013
2006-06-09,19.64,19.76,19.24,19.39,2987013
2006-06-12,19.52,19.65,19.23,19.24,2015974
2006-06-13,19.29,19.51,19.1,19.15,1957792
2006-06-14,19.48,19.84,19.41,19.71,2490000
2006-06-15,20.11,20.4,20.03,20.36,2731558
2006-06-16,20.2,20.22,19.71,19.83,4212727
2006-06-19,19.89,19.93,19.47,19.59,4083117
2006-06-20,19.49,19.72,19.31,19.4,3741429
2006-06-21,19.78,20.38,19.69,20.16,2449481
2006-06-22,19.92,20.04,19.71,19.91,1693506
2006-06-23,19.89,20.18,19.72,19.88,3105455
2006-06-26,19.9,20.09,19.82,20.06,2290000
2006-06-27,20.03,20.03,19.4,19.45,2950260
2006-06-28,19.5,19.55,19.17,19.42,1780779
2006-06-29,19.31,20.01,19.2,20.0,3116364
2006-06-30,20.14,20.22,20.0,20.22,1801688
2006-07-03,20.34,20.47,20.31,20.42,1876494
2006-07-05,20.08,20.12,19.68,19.83,2966364
2006-07-06,19.95,20.05,19.88,19.95,3045195
2006-07-07,19.71,19.78,19.39,19.49,5087922
2006-07-10,19.75,19.78,19.35,19.43,2645065
2006-07-11,19.28,19.83,19.21,19.8,3711429
2006-07-12,19.65,19.65,19.19,19.28,2759351
2006-07-13,19.03,19.2,18.63,18.67,3562078
2006-07-14,18.7,18.72,18.36,18.63,3007403
2006-07-17,18.42,18.55,18.28,18.46,1588701
2006-07-18,18.76,18.87,18.27,18.78,4115325
2006-07-19,19.06,20.06,19.03,19.95,7044416
2006-07-20,19.82,19.83,18.91,19.03,7813117
2006-07-21,18.87,18.88,18.45,18.56,6112597
2006-07-24,18.75,18.88,18.62,18.84,4512338
2006-07-25,18.88,19.19,18.79,19.14,3248571
2006-07-26,18.9,19.21,18.73,19.02,2472727
2006-07-27,19.06,19.44,19.03,19.12,3235455
2006-07-28,19.461,19.86,19.39,19.75,3062987
2006-07-31,19.58,19.92,19.52,19.9,2256623
2006-08-01,19.63,19.66,19.22,19.51,2863377
2006-08-02,19.77,19.95,19.65,19.8,1425325
