date,open,high,low,close,volume
2007-06-14,28.0,30.5,28.0,28.75,3279100
2007-06-15,29.5,29.8,28.88,29.08,790100
2007-06-18,29.32,30.2,29.3,29.93,1591000
2007-06-19,30.0,30.3,29.6,29.7,1585100
2007-06-20,30.04,30.1,29.57,29.81,855900
2007-06-21,30.06,31.95,29.61,31.21,842700
2007-06-22,31.5,32.17,31.0,31.7,1490700
2007-06-25,31.5,32.0,31.01,31.3,490000
2007-06-26,31.3,31.65,30.25,30.41,853900
2007-06-27,30.6,30.8,29.57,29.58,1127300
2007-06-28,29.88,29.9,29.16,29.5,488900
2007-06-29,29.99,30.3,27.93,28.5,3085200
2007-07-02,28.55,29.15,27.2,27.5,10999000
2007-07-03,27.5,27.5,26.15,26.67,8600100
2007-07-05,26.25,26.92,25.74,25.93,8422000
2007-07-06,25.64,25.86,25.21,25.64,7211800
2007-07-09,25.72,26.54,25.44,25.54,11675200
2007-07-10,25.6,25.65,24.8,24.9,8591800
2007-07-11,25.02,25.27,24.75,25.21,10251400
2007-07-12,25.59,26.59,25.21,26.34,10297300
2007-07-13,26.47,27.43,26.02,27.16,6752500
2007-07-16,27.21,27.45,26.66,26.84,9892000
2007-07-17,26.96,26.99,26.31,26.5,5434600
2007-07-18,26.45,26.5,25.7,26.36,4594800
2007-07-19,26.25,26.95,26.25,26.71,4868900
2007-07-20,26.71,27.12,26.25,26.3,5751300
2007-07-23,26.3,26.51,26.1,26.12,4711800
2007-07-24,25.54,25.6,24.93,25.0,5483800
2007-07-25,24.76,24.84,23.75,24.1,8391500
2007-07-26,23.26,24.88,22.75,24.62,9834900
2007-07-27,24.26,24.7,23.33,23.33,6678000
2007-07-30,23.4,23.93,22.37,23.57,5056000
2007-07-31,23.65,24.1,22.83,23.05,4132300
2007-08-01,22.68,23.07,22.05,22.88,5583900
2007-08-02,22.5,24.05,22.48,23.37,3032900
2007-08-03,22.66,23.11,21.53,21.99,5256100
2007-08-06,22.24,23.53,21.25,22.15,6010700
2007-08-07,22.05,23.53,21.72,22.88,3885200
2007-08-08,23.5,24.57,23.0,24.29,5645200
2007-08-09,23.4,23.96,22.06,22.16,4554600
2007-08-10,21.75,21.95,20.35,20.86,10813200
2007-08-13,21.26,22.29,21.26,22.1,7115200
2007-08-14,22.29,22.66,21.71,21.96,3845000
2007-08-15,21.89,22.4,21.16,21.66,3690300
2007-08-16,20.5,23.14,20.47,22.85,5503500
2007-08-17,23.89,23.99,22.91,23.18,5668600
2007-08-20,23.1,23.5,22.48,23.45,3786500
2007-08-21,23.09,23.96,23.07,23.67,2471000
2007-08-22,23.66,24.0,23.25,23.73,3601000
2007-08-23,23.94,24.03,23.18,23.7,2904000
2007-08-24,23.42,24.02,23.38,23.99,2001000
2007-08-27,24.02,24.04,23.7,23.83,1629600
2007-08-28,23.32,23.55,22.56,22.71,4219100
2007-08-29,22.57,23.58,21.59,23.33,2932600
2007-08-30,22.82,23.0,22.5,22.76,2269400
2007-08-31,23.01,23.88,22.54,23.14,3092600
2007-09-04,23.05,23.56,22.63,23.43,2459400
2007-09-05,22.68,23.12,22.36,22.55,2703300
2007-09-06,22.51,22.52,22.05,22.28,3297000
2007-09-07,21.98,21.98,20.86,21.11,3985000
2007-09-10,21.17,21.52,20.25,20.56,2746400
2007-09-11,20.52,21.15,20.47,20.61,2838100
2007-09-12,20.45,21.44,20.25,21.0,3052400
2007-09-13,21.0,21.74,21.0,21.34,2328500
2007-09-14,21.29,21.56,21.01,21.27,1839600
2007-09-17,21.21,21.41,20.5,21.32,2233500
2007-09-18,21.4,23.09,21.16,23.09,3637000
2007-09-19,23.22,23.82,23.02,23.41,4394100
2007-09-20,23.27,24.0,22.61,22.66,2683300
2007-09-21,22.75,22.8,21.98,22.4,10196300
2007-09-24,22.7,23.48,22.24,22.26,4334300
2007-09-25,22.26,22.26,21.17,21.72,9227000
2007-09-26,21.65,21.94,21.21,21.25,4631500
2007-09-27,21.16,21.33,20.59,20.67,5640600
2007-09-28,20.7,20.87,20.33,20.8,3736300
2007-10-01,21.0,21.59,20.63,21.57,3324900
2007-10-02,21.57,22.14,21.27,21.37,2774300
2007-10-03,21.3,22.1,21.25,21.35,2493400
