trial_number,timestamp,config_hash,mean_sharpe,emaPeriod,rsiPeriod,buy_threshold,sell_threshold,rsi_buy,rsi_sell,PEP_sharpe,PEP_drawdown,PEP_return,BX_sharpe,BX_drawdown,BX_return,ASML_sharpe,ASML_drawdown,ASML_return,UNH_sharpe,UNH_drawdown,UNH_return
0,2025-08-12T21:18:07.481974,50ba87edf34a3aeacbafe9aad021bcff,0.37133350919369346,23,21,1.0055862359035974,0.9924857784604637,48,54,0.5369983291851339,4.041739458897982,0.5289956717749993,-0.18707116270594934,3.718032012285148,-0.1293338616600621,0.3611337188811478,12.12066407440525,1.76377271186503,0.7742731514144414,7.628944162518462,2.3160876765545773
1,2025-08-12T21:21:09.014748,c305aa0294782f1ec316ef38e3593aa4,0.4051711026138289,14,14,1.0063069209261077,0.9950960937232877,34,59,0.6825750907490898,3.6642879600605807,0.3991582642399707,0.09342701170806295,2.5319322848448467,0.051751962289712364,0.32683994135286953,14.98179669785714,0.842266653610275,0.5178423666452932,8.26739641711184,1.8765814362096949
2,2025-08-12T21:24:10.670399,cea95b43ddf92b4067a0889e26974de2,0.46081874895213865,21,11,1.002195980781668,0.9924522421663624,39,67,0.46382924937463293,3.6257023266337223,0.5297445123720496,0.41438533122776045,2.466707602563615,0.4236908271206055,0.3001124100949209,17.70210943295709,1.3231231319693306,0.6649480051112404,9.245593143585548,2.3474420166911942
3,2025-08-12T21:27:09.414252,e4b6313cf091e17b10065b844fc756bf,0.4566668805232702,7,20,1.006918308087876,0.988495909196158,44,69,0.46094060284061333,3.607304651228214,0.5704133187594378,0.4033916170887789,2.464862999252204,0.4892060639099012,0.20986074011936415,24.09513856282408,1.1984388324877404,0.7524745620443245,7.980028914366421,2.434723125258328
4,2025-08-12T21:30:08.707266,f988ee1fc0e9d3cbb2afee4969d93ede,0.5285783031361193,22,17,1.0033698094420889,0.9899709385260541,38,56,0.6571106443542742,3.6351263220574506,0.4096822667899981,0.31856507896433406,2.5009241065348964,0.2039664175983904,0.4688683640031945,11.73423538608784,1.4492907351388826,0.6697691252226747,7.759851630586423,2.4647055008427636
5,2025-08-12T21:33:08.644442,15268761195fdb53e7874a85ce970f7f,0.5371432338282599,30,13,1.012834745020483,0.9930559800443679,50,65,0.5526786793631883,3.5755124808255325,0.6209707717211084,0.3913398110595959,2.4797692878982276,0.3802157704108146,0.3555172868488558,17.607019333344546,2.0493689736284644,0.8490371580413997,7.649154880016837,2.4512417792167485
6,2025-08-12T21:36:08.068363,305ddd8b3b806550f2407b6b934ea51f,0.46397802366644336,24,20,1.0138374644264199,0.9861611154640857,45,69,0.4664544182133437,3.5893942080653902,0.5965256370467181,0.40777405218128243,2.4689816771021436,0.4787507807955097,0.2771921740408732,23.099540416521563,1.610902764323745,0.7044914502302742,8.368879030882104,2.432998728319411
7,2025-08-12T21:39:08.219195,9a3d34eaf410192c14dd71564c66ccc7,0.4385188755169336,28,7,1.005527236070118,0.9974962078575467,37,53,0.6405412593551176,3.624062417549268,0.45822735675999093,0.0516387756965378,2.7832751261156354,0.026630817813296695,0.4751448988102844,11.643383765522932,1.3584703319439684,0.5867505682057946,8.024099452670884,2.270957192489019
8,2025-08-12T21:42:07.450833,6c68eb89aac76701ef7d2ae4d280f02b,0.35392969070952285,12,9,1.0141511277402266,0.9951064802527742,48,52,0.5586642514078332,3.63870308523421,0.5487025633297065,-0.12992250403439953,3.7003291794027655,-0.09749090019980632,0.25381622799212605,17.074089042255178,1.2462866303922997,0.7331607874725318,7.6722109533468625,2.4812865128625785
9,2025-08-12T21:45:06.165746,3c5752de0ef6f7b315600257e354b5dd,0.4783209560193542,21,11,1.0054338033698937,0.9954151625529863,33,67,0.5928119939501327,3.6021691689535222,0.5515779420328891,0.3452255008220462,2.49776551509735,0.27858532638628847,0.359702867366386,17.461726158177054,1.2742457743342346,0.6155434619388519,8.227294676533164,1.8486703021407098
10,2025-08-12T21:48:05.721291,42f3bc9d451b6d9be1a844ea01a69f8d,0.5542808595023289,30,15,1.0113464835235746,0.9859259162645532,30,63,0.6033359640047538,3.6954829782940837,0.3207547540595759,0.21271037037786503,2.526061368258681,0.13403347547251224,0.6313491175801534,13.533060442494055,1.7345762247212755,0.769727986046543,8.112351260691646,1.862345145576067
11,2025-08-12T21:51:03.900936,94c1706692aeda0ecbacbae486279d3b,0.5347280002619245,30,16,1.0110275288018735,0.9860441552002744,30,63,0.6033359640047538,3.6954829782940837,0.3207547540595759,0.21271037037786503,2.526061368258681,0.13403347547251224,0.5531376806185359,13.515705894422425,1.5663822331892532,0.769727986046543,8.112351260691646,1.862345145576067
12,2025-08-12T21:54:02.931793,b2a50baa9400b8cc50bb4f83c5a19efa,0.4655718999124979,27,14,1.0108459291437284,0.9889720272655447,43,62,0.5127556890000741,3.603654251581168,0.4836424319445874,0.3846501460524606,2.4910618260035498,0.33615873912372074,0.3283617570058922,17.03128345108115,1.6366738759859252,0.6365200075915648,7.860087777630011,2.386748560838447
13,2025-08-12T21:57:03.606349,6970803bf6be9730a58a873c4cc7af25,0.5511875324462623,30,16,1.0112799808846435,0.9909853776144019,50,64,0.6570369395846446,3.5260142104056684,0.6950925803833211,0.38462561968602615,2.4816362776421115,0.3754564619033299,0.30172378884319384,18.488658823844887,1.7096737559472497,0.8613637816711847,7.556729412986939,2.500563769911059
14,2025-08-12T22:00:04.145151,9bc0ff274096c0470b92d770d29a25d0,0.4200110727590191,17,17,1.0095923430472695,0.9876270023212527,30,60,0.4754049151730863,3.704666955642251,0.2856593460633186,-0.0038803845688312045,2.956999999999989,-0.00354566933866711,0.5333599532226451,14.16615221111694,1.2326707941541264,0.6751598072091762,8.031937484073735,1.8904367356024059
15,2025-08-12T22:03:04.420571,d9ff97afe88863b23bc55a68ee9ef3c8,0.4265991341127757,26,16,1.0117847013414734,0.9850371781759285,42,58,0.34107624063848596,3.6985748081472347,0.3075090585620427,0.3046628328578473,2.5182921453968468,0.20477980280260732,0.36799292294767555,14.468560206078772,1.7374640716681302,0.6926645400070942,7.820628396092999,2.348580025851142
16,2025-08-12T22:06:10.180783,5a3fad970b3b607779990e2c2c292018,0.44108643859350205,18,18,1.0084596201362723,0.9903703394019623,35,63,0.5395716975272242,3.6527685440212596,0.43219228520589553,0.28011271094849194,2.5258876466311704,0.24825005608586043,0.2622740183717125,18.32137406023032,0.9970543640836863,0.6823873275265796,7.867870366518289,2.5053443017053376
17,2025-08-12T22:09:17.472614,ef88d1140ee28ef3cae958b27dc9ee25,0.4053178052487739,5,12,1.0089291175094677,0.9909480500957232,41,50,0.5441150526396447,3.68690984038729,0.3783868824763865,0.09907589283838364,3.2949860991276103,0.06900169367717152,0.3471630767221932,13.021588345325215,1.1813991706960674,0.6309171987948742,8.04088470140053,2.2994006576212205
