date,open,high,low,close,volume
2006-01-03,62.6,62.6,60.6,61.73,8070500
2006-01-04,61.89,62.2,61.6,61.88,5585200
2006-01-05,62.23,62.88,61.49,61.69,5624200
2006-01-06,62.75,62.93,62.03,62.9,5577600
2006-01-09,62.9,62.9,61.26,61.4,8828900
2006-01-10,61.45,62.77,61.44,62.61,6237800
2006-01-11,62.6,62.7,61.62,61.85,5515800
2006-01-12,61.9,62.91,61.74,62.53,5374100
2006-01-13,61.34,61.34,59.71,60.94,11002500
2006-01-17,60.2,61.0,59.98,61.0,6332500
2006-01-18,61.0,61.76,60.58,61.22,7104900
2006-01-19,61.31,62.1,59.29,61.47,13389600
2006-01-20,61.4,61.4,59.39,59.48,10087400
2006-01-23,59.51,59.83,57.72,57.99,9610500
2006-01-24,58.05,58.6999,58.05,58.31,8250200
2006-01-25,58.73,58.88,57.45,57.98,6529400
2006-01-26,57.99,58.52,57.12,57.89,9949700
2006-01-27,58.24,58.78,58.01,58.54,6418600
2006-01-30,58.55,58.7,57.65,57.77,6738800
2006-01-31,58.17,59.95,58.01,59.42,10652700
2006-02-01,59.3,59.75,59.05,59.5,7522900
2006-02-02,59.73,59.74,58.75,59.36,6235200
2006-02-03,59.36,59.89,59.09,59.62,5392400
2006-02-06,59.34,59.6,58.25,58.54,4891600
2006-02-07,58.5,59.082,57.7,57.73,5174300
2006-02-08,57.7,58.08,55.25,57.59,7318700
2006-02-09,58.5,59.19,58.04,58.08,5747900
2006-02-10,58.15,58.78,57.4,58.6,4224000
2006-02-13,58.5,58.78,58.17,58.59,3357500
2006-02-14,58.5,59.47,58.5,59.45,4771900
2006-02-15,59.4,59.75,58.72,59.0,4335100
2006-02-16,59.24,59.265,58.13,58.5,5087600
2006-02-17,58.25,58.4,57.83,58.0,7065300
2006-02-21,58.8,59.0399,57.94,58.17,4688800
2006-02-22,58.34,59.8,58.34,59.54,5297100
2006-02-23,59.88,59.88,59.37,59.45,4772500
2006-02-24,59.1,59.46,58.51,58.89,5348000
2006-02-27,59.0,59.16,58.82,58.94,3247000
2006-02-28,58.93,59.02,57.87,58.23,5301200
2006-03-01,58.05,58.46,57.84,58.43,5289900
2006-03-02,58.0,58.2199,57.22,57.58,5964400
2006-03-03,57.35,57.67,56.49,56.6,6531000
2006-03-06,56.3,56.78,56.24,56.7,5800300
2006-03-07,56.22,57.32,56.1,56.42,6308800
2006-03-08,56.43,57.35,56.32,57.2,6063300
2006-03-09,57.5,57.86,56.28,56.34,5283100
2006-03-10,56.39,56.79,56.15,56.17,6983600
2006-03-13,56.06,56.1,53.85,55.73,12402100
2006-03-14,55.49,56.94,55.45,56.89,7598000
2006-03-15,56.9,57.52,56.55,57.34,6608100
2006-03-16,57.29,57.34,56.46,56.57,6071300
