timestamp,equity,price
1999-11-01,100000,77.62
1999-11-02,100000,80.25
1999-11-03,100000,81.5
1999-11-04,100000,83.62
1999-11-05,100000,88.31
1999-11-08,100000,96.37
1999-11-09,100000,89.62
1999-11-10,100000,91.44
1999-11-11,100000,92.25
1999-11-12,100000,90.62
1999-11-15,100000,89.44
1999-11-16,100000,91.19
1999-11-17,100000,90.25
1999-11-18,100000,89.62
1999-11-19,100000,92.44
1999-11-22,100000,90.62
1999-11-23,100000,92.81
1999-11-24,100000,94.69
1999-11-26,100000,95.06
1999-11-29,100000,94.56
1999-11-30,100000,97.87
1999-12-01,100000,103.06
1999-12-02,100000,110.19
1999-12-03,100000,115
1999-12-06,100000,116
1999-12-07,100000,117.81
1999-12-08,100000,110.06
1999-12-09,100000,105.25
1999-12-10,100000,103
1999-12-13,100000,99
1999-12-14,100000,94.87
1999-12-15,100000,97
1999-12-16,100000,98.31
1999-12-17,100009,100
1999-12-20,99989,98
1999-12-21,100034,102.5
1999-12-22,100008,99.94
1999-12-23,100044,103.5
1999-12-27,100002,99.31
1999-12-28,99990.9,98.19
1999-12-29,100016,100.69
1999-12-30,100012,100.31
1999-12-31,100037,102.81
2000-01-03,100128,111.94
2000-01-04,100034,102.5
2000-01-05,100049,104
2000-01-06,99959,95
2000-01-07,100004,99.5
2000-01-10,99986.5,97.75
2000-01-11,99936.5,92.75
2000-01-12,99880.9,87.19
2000-01-13,99976.5,96.75
2000-01-14,100013,100.44
2000-01-18,100048,103.94
2000-01-19,100075,106.56
2000-01-20,100144,113.5
2000-01-21,100122,111.31
2000-01-24,100072,106.25
2000-01-25,100132,112.25
2000-01-26,100111,110.19
2000-01-27,100109,110
2000-01-28,100025,101.62
2000-01-31,100046,103.75
2000-02-01,100012,100.25
2000-02-02,99997.1,98.81
2000-02-03,100042,103.31
2000-02-04,100089,108
2000-02-07,100150,114.06
2000-02-08,100158,114.87
2000-02-09,100135,112.62
2000-02-10,100144,113.5
2000-02-11,100096,108.75
2000-02-14,100167,115.81
2000-02-15,100199,119
2000-02-16,100150,114.12
2000-02-17,100158,114.87
2000-02-18,100122,111.25
2000-02-22,100147,113.81
2000-02-23,100172,116.25
2000-02-24,100161,115.2
2000-02-25,100113,110.37
2000-02-28,100142,113.25
2000-02-29,100155,114.62
2000-03-01,100312,130.31
2000-03-02,100229,122
2000-03-03,100289,128
2000-03-06,100266,125.69
2000-03-07,100238,122.87
2000-03-08,100229,122
2000-03-09,100232,122.25
2000-03-10,100266,125.75
2000-03-13,100222,121.31
2000-03-14,100152,114.25
2000-03-15,100172,116.25
2000-03-16,100225,121.56
2000-03-17,100259,125
2000-03-20,100239,123
2000-03-21,100358,134.94
2000-03-22,100451,144.19
2000-03-23,100422,141.31
2000-03-24,100396,138.69
2000-03-27,100405,139.56
2000-03-28,100400,139.13
2000-03-29,100368,135.94
2000-03-30,100266,125.75
2000-03-31,100367,135.81
2000-04-03,100342,133.31
2000-04-04,100282,127.31
2000-04-05,100313,130.38
2000-04-06,100261,125.19
2000-04-07,100326,131.75
2000-04-10,100259,125
2000-04-11,100203,119.44
2000-04-12,100102,109.25
2000-04-13,100147,113.81
2000-04-14,100128,111.87
2000-04-17,100248,123.87
2000-04-18,100278,126.87
2000-04-19,100220,121.12
2000-04-20,100198,118.87
2000-04-24,100214,120.5
2000-04-25,100292,128.31
2000-04-26,100222,121.31
2000-04-27,100276,126.75
2000-04-28,100250,124.06
2000-05-01,100252,124.31
2000-05-02,100188,117.87
2000-05-03,100160,115.06
2000-05-04,100116,110.69
2000-05-05,100140,113.12
2000-05-08,100110,110.12
2000-05-09,100063,105.44
2000-05-10,100002,99.31
2000-05-11,100037,102.81
2000-05-12,100085,107.62
2000-05-15,100019,101
2000-05-16,100066,105.69
2000-05-17,100023,101.37
2000-05-18,100016,100.75
2000-05-19,99949,94
2000-05-22,99908.4,89.94
2000-05-23,99867.1,85.81
2000-05-24,99885.9,87.69
2000-05-25,99881.7,87.27
2000-05-26,99872.7,86.37
2000-05-30,99884.6,87.56
2000-05-31,99849,84
2000-06-01,99900.2,89.12
2000-06-02,99934.6,92.56
2000-06-05,99922.1,91.31
2000-06-06,99937.7,92.87
2000-06-07,99974.6,96.56
2000-06-08,99957.1,94.81
2000-06-09,99966.5,95.75
2000-06-12,99920.9,91.19
2000-06-13,99954,94.5
2000-06-14,99913.4,90.44
2000-06-15,99932.7,92.37
2000-06-16,99920.9,91.19
2000-06-19,99975.2,96.62
2000-06-20,100022,101.25
2000-06-21,99565.3,55.63
2000-06-22,99546.5,53.75
2000-06-23,99525.9,51.69
2000-06-26,99550.3,54.13
2000-06-27,99526.5,51.75
2000-06-28,99553.4,54.44
2000-06-29,99521.5,51.25
2000-06-30,99532.8,52.38
2000-07-03,99542.1,53.31
2000-07-05,99525.3,51.63
2000-07-06,99527.1,51.81
2000-07-07,99553.4,54.44
2000-07-10,99580.3,57.13
2000-07-11,99578.4,56.94
2000-07-12,99597.8,58.88
2000-07-13,99574,56.5
2000-07-14,99585.9,57.69
2000-07-17,99592.1,58.31
2000-07-18,99581.5,57.25
2000-07-19,99535.9,52.69
2000-07-20,99560.3,55.13
2000-07-21,99544.6,53.56
2000-07-24,99495.9,48.69
2000-07-25,99509.6,50.06
2000-07-26,99509.6,50.06
2000-07-27,99529,52
2000-07-28,99492.1,48.31
2000-07-31,99517.1,50.81
2000-08-01,99502.1,49.31
2000-08-02,99481.5,47.25
2000-08-03,99489,48
2000-08-04,99482.8,47.38
2000-08-07,99488.4,47.94
2000-08-08,99476.5,46.75
2000-08-09,99484,47.5
2000-08-10,99484.6,47.56
2000-08-11,99485.9,47.69
2000-08-14,99479.6,47.06
2000-08-15,99475.9,46.69
2000-08-16,99494,48.5
2000-08-17,99523.4,51.44
2000-08-18,99509,50
2000-08-21,99514,50.5
2000-08-22,99525.9,51.69
2000-08-23,99552.1,54.31
2000-08-24,99570.1,56.11
2000-08-25,99577.1,56.81
2000-08-28,99589.6,58.06
2000-08-29,99600.9,59.19
2000-08-30,99604,59.5
2000-08-31,99618.4,60.94
2000-09-01,99643.4,63.44
2000-09-05,99633.4,62.44
2000-09-06,99593.4,58.44
2000-09-07,99629,62
2000-09-08,99597.8,58.88
2000-09-11,99593.4,58.44
2000-09-12,99586.5,57.75
2000-09-13,99589,58
2000-09-14,99577.6,56.86
2000-09-15,99561.3,55.23
2000-09-18,99615.6,60.66
2000-09-19,99608.4,59.94
2000-09-20,99619.5,61.05
2000-09-21,99575.9,56.69
2000-09-22,99530.9,52.19
2000-09-25,99544,53.5
2000-09-26,99523.4,51.44
2000-09-27,99498.4,48.94
2000-09-28,99544,53.5
2000-09-29,99266.5,25.75
2000-10-02,99251.5,24.25
2000-10-03,99232.1,22.31
2000-10-04,99245.2,23.62
2000-10-05,99229.6,22.06
2000-10-06,99230.9,22.19
2000-10-09,99226.5,21.75
2000-10-10,99217.7,20.87
2000-10-11,99205.2,19.62
2000-10-12,99209,20
2000-10-13,99229.6,22.06
2000-10-16,99224,21.5
2000-10-17,99210.2,20.12
2000-10-18,99210.2,20.12
2000-10-19,99198.4,18.94
2000-10-20,99204,19.5
2000-10-23,99212.7,20.37
2000-10-24,99197.7,18.87
2000-10-25,99194,18.5
2000-10-26,99194,18.5
2000-10-27,99194.6,18.56
2000-10-30,99202.1,19.31
2000-10-31,99204.6,19.56
2000-11-01,99214,20.5
2000-11-02,99232.1,22.31
2000-11-03,99231.5,22.25
2000-11-06,99223.4,21.44
2000-11-07,99222.1,21.31
2000-11-08,99209.6,20.06
2000-11-09,99210.9,20.19
2000-11-10,99199.6,19.06
2000-11-13,99202.7,19.37
2000-11-14,99211.5,20.25
2000-11-15,99207.7,19.87
2000-11-16,99199,19
2000-11-17,99194,18.5
2000-11-20,99198.4,18.94
2000-11-21,99197.1,18.81
2000-11-22,99194,18.5
2000-11-24,99202.1,19.31
