timestamp,equity,price
1999-11-01,100000,77.62
1999-11-02,100000,80.25
1999-11-03,100000,81.5
1999-11-04,100000,83.62
1999-11-05,100000,88.31
1999-11-08,100000,96.37
1999-11-09,100000,89.62
1999-11-10,100000,91.44
1999-11-11,99999.5,92.25
1999-11-12,99999.5,90.62
1999-11-15,99999.5,89.44
1999-11-16,99999.5,91.19
1999-11-17,99999.5,90.25
1999-11-18,99999.5,89.62
1999-11-19,99999.5,92.44
1999-11-22,99999.5,90.62
1999-11-23,99999,92.81
1999-11-24,99999,94.69
1999-11-26,99999,95.06
1999-11-29,99999,94.56
1999-11-30,99999,97.87
1999-12-01,99999,103.06
1999-12-02,99999,110.19
1999-12-03,99998.5,115
1999-12-06,99998.5,116
1999-12-07,99998.5,117.81
1999-12-08,99998.5,110.06
1999-12-09,99998.5,105.25
1999-12-10,99998.5,103
1999-12-13,99998,99
1999-12-14,99998,94.87
1999-12-15,99998,97
1999-12-16,99998,98.31
1999-12-17,99998,100
1999-12-20,99997.5,98
1999-12-21,99997.5,102.5
1999-12-22,99997.5,99.94
1999-12-23,99997.5,103.5
1999-12-27,99997.5,99.31
1999-12-28,99997.5,98.19
1999-12-29,99997.5,100.69
1999-12-30,99997.5,100.31
1999-12-31,99997.5,102.81
2000-01-03,99997.5,111.94
2000-01-04,99997.5,102.5
2000-01-05,99997.5,104
2000-01-06,99997.5,95
2000-01-07,99997.5,99.5
2000-01-10,99997.5,97.75
2000-01-11,99997.5,92.75
2000-01-12,99997.5,87.19
2000-01-13,99997,96.75
2000-01-14,99997,100.44
2000-01-18,99997,103.94
2000-01-19,99997,106.56
2000-01-20,99997,113.5
2000-01-21,99997,111.31
2000-01-24,99997,106.25
2000-01-25,99997,112.25
2000-01-26,99997,110.19
2000-01-27,99997,110
2000-01-28,99997,101.62
2000-01-31,99997,103.75
2000-02-01,99997,100.25
2000-02-02,99997,98.81
2000-02-03,99997,103.31
2000-02-04,99996.5,108
2000-02-07,99996.5,114.06
2000-02-08,99996.5,114.87
2000-02-09,99996.5,112.62
2000-02-10,99996.5,113.5
2000-02-11,99996.5,108.75
2000-02-14,99996.5,115.81
2000-02-15,99996,119
2000-02-16,99996,114.12
2000-02-17,99996,114.87
2000-02-18,99995.5,111.25
2000-02-22,99995.5,113.81
2000-02-23,99995.5,116.25
2000-02-24,99995.5,115.2
2000-02-25,99995.5,110.37
2000-02-28,99995,113.25
2000-02-29,99995,114.62
2000-03-01,99995,130.31
2000-03-02,99995,122
2000-03-03,99995,128
2000-03-06,99995,125.69
2000-03-07,99994.5,122.87
2000-03-08,99994.5,122
2000-03-09,99994.5,122.25
2000-03-10,99994,125.75
2000-03-13,99994,121.31
2000-03-14,99994,114.25
2000-03-15,99994,116.25
2000-03-16,99994,121.56
2000-03-17,99994,125
2000-03-20,99994,123
2000-03-21,99993.5,134.94
2000-03-22,99993.5,144.19
2000-03-23,99993.5,141.31
2000-03-24,99993.5,138.69
2000-03-27,99993,139.56
2000-03-28,99993,139.13
2000-03-29,99993,135.94
2000-03-30,99993,125.75
2000-03-31,99993,135.81
2000-04-03,99993,133.31
2000-04-04,99992.5,127.31
2000-04-05,99992.5,130.38
2000-04-06,99992.5,125.19
2000-04-07,99992.5,131.75
2000-04-10,99992.5,125
2000-04-11,99992.5,119.44
2000-04-12,99992,109.25
2000-04-13,99992,113.81
2000-04-14,99992,111.87
2000-04-17,99992,123.87
2000-04-18,99991.5,126.87
2000-04-19,99991.5,121.12
2000-04-20,99991.5,118.87
2000-04-24,99991.5,120.5
2000-04-25,99991.5,128.31
2000-04-26,99991.5,121.31
2000-04-27,99991.5,126.75
2000-04-28,99991.5,124.06
2000-05-01,99991.5,124.31
2000-05-02,99991.5,117.87
2000-05-03,99991.5,115.06
2000-05-04,99991.5,110.69
2000-05-05,99991.5,113.12
2000-05-08,99991.5,110.12
2000-05-09,99991.5,105.44
2000-05-10,99991.5,99.31
2000-05-11,99991.5,102.81
2000-05-12,99991.5,107.62
2000-05-15,99991.5,101
2000-05-16,99991.5,105.69
2000-05-17,99991.5,101.37
2000-05-18,99991.5,100.75
2000-05-19,99991.5,94
2000-05-22,99991.5,89.94
2000-05-23,99991.5,85.81
2000-05-24,99991.5,87.69
2000-05-25,99991.5,87.27
2000-05-26,99991.5,86.37
2000-05-30,99991.5,87.56
2000-05-31,99991.5,84
2000-06-01,99991.5,89.12
2000-06-02,99991.5,92.56
2000-06-05,99991.5,91.31
2000-06-06,99991.5,92.87
2000-06-07,99991.5,96.56
2000-06-08,99991,94.81
2000-06-09,99991,95.75
2000-06-12,99991,91.19
2000-06-13,99991,94.5
2000-06-14,99991,90.44
2000-06-15,99990.5,92.37
2000-06-16,99990.5,91.19
2000-06-19,99990.5,96.62
2000-06-20,99990.5,101.25
2000-06-21,99990.5,55.63
2000-06-22,99990.5,53.75
2000-06-23,99990.5,51.69
2000-06-26,99990,54.13
2000-06-27,99990,51.75
2000-06-28,99990,54.44
2000-06-29,99990,51.25
2000-06-30,99990,52.38
2000-07-03,99990,53.31
2000-07-05,99989.5,51.63
2000-07-06,99989.5,51.81
2000-07-07,99989.5,54.44
2000-07-10,99989,57.13
2000-07-11,99989,56.94
2000-07-12,99989,58.88
2000-07-13,99989,56.5
2000-07-14,99989,57.69
2000-07-17,99989,58.31
2000-07-18,99989,57.25
2000-07-19,99989,52.69
2000-07-20,99989,55.13
2000-07-21,99989,53.56
2000-07-24,99989,48.69
2000-07-25,99989,50.06
2000-07-26,99989,50.06
2000-07-27,99989,52
2000-07-28,99989,48.31
2000-07-31,99989,50.81
2000-08-01,99989,49.31
2000-08-02,99988.5,47.25
2000-08-03,99988.5,48
2000-08-04,99988.5,47.38
2000-08-07,99988.5,47.94
2000-08-08,99988.5,46.75
2000-08-09,99988.5,47.5
2000-08-10,99988.5,47.56
2000-08-11,99988.5,47.69
2000-08-14,99988.5,47.06
2000-08-15,99988,46.69
2000-08-16,99988,48.5
2000-08-17,99988,51.44
2000-08-18,99988,50
2000-08-21,99988,50.5
2000-08-22,99988,51.69
2000-08-23,99988,54.31
2000-08-24,99987.5,56.11
2000-08-25,99987.5,56.81
2000-08-28,99987.5,58.06
2000-08-29,99987.5,59.19
2000-08-30,99987.5,59.5
2000-08-31,99987.5,60.94
2000-09-01,99987.5,63.44
2000-09-05,99987.5,62.44
2000-09-06,99987.5,58.44
2000-09-07,99987.5,62
2000-09-08,99987.5,58.88
2000-09-11,99987.5,58.44
2000-09-12,99987.5,57.75
2000-09-13,99987.5,58
2000-09-14,99987.5,56.86
2000-09-15,99987.5,55.23
2000-09-18,99987.5,60.66
2000-09-19,99987.5,59.94
2000-09-20,99987.5,61.05
2000-09-21,99987.5,56.69
2000-09-22,99987.5,52.19
2000-09-25,99987,53.5
2000-09-26,99987,51.44
2000-09-27,99987,48.94
2000-09-28,99987,53.5
2000-09-29,99986.5,25.75
2000-10-02,99986.5,24.25
2000-10-03,99986.5,22.31
2000-10-04,99986.5,23.62
2000-10-05,99986.5,22.06
2000-10-06,99986.5,22.19
2000-10-09,99986,21.75
2000-10-10,99986,20.87
2000-10-11,99986,19.62
2000-10-12,99985.5,20
2000-10-13,99985.5,22.06
2000-10-16,99985.5,21.5
2000-10-17,99985.5,20.12
2000-10-18,99985.5,20.12
2000-10-19,99985.5,18.94
2000-10-20,99985,19.5
2000-10-23,99985,20.37
2000-10-24,99985,18.87
2000-10-25,99985,18.5
2000-10-26,99985,18.5
2000-10-27,99985,18.56
2000-10-30,99984.5,19.31
2000-10-31,99984.5,19.56
2000-11-01,99984.5,20.5
2000-11-02,99984.5,22.31
2000-11-03,99984.5,22.25
2000-11-06,99984.5,21.44
2000-11-07,99984.5,21.31
2000-11-08,99984.5,20.06
2000-11-09,99984.5,20.19
2000-11-10,99984,19.06
2000-11-13,99984,19.37
2000-11-14,99984,20.25
2000-11-15,99984,19.87
